OBJECTID,COUNTYFP10,TRACTCE10,BLKGRPCE10,GEOID10,NAMELSAD10,GEOID10_1,PICK_GEOID,BGPICKLIST,BGTITLE,GEOID_NUM,POPDENS,SWTORD,V_PER_SQMI,P_PER_SQMI,D_PER_SQMI,AREA_SQMI,LUDIVERSE,R_AVGYR,PCTSSI,POP,PCTLATINO,PCTWH_NL,PCTBLK_NL,PCTASIANNL,PCTOTHERNL,RE_DIVERSE,MEDAGE,PctUnd18,Pct65Up,MHI,PCI,PCTRENT,PCTUNFRENT,PCTUNFOWN,PCTC30,PCTDRALONE,PCTBIKEWK,PCTWLKWK,PCTWRKHM,PCTR_GRCR,PCTR_PHARM,PCTR_BANK,PCTR_BUSST,DAYTRIPS,EVETRIPS,TREE_PCT,IMP_PCT,id,AREA_SQMI_,CVALPSM_12,RVALPSM_12,ACODEV_12,WCODEV_12,RCODEV_12
95,63,2009,3,370630000000,Block Group 3,370630000000,107 - 370630020093,"107 - Tract: 002009, BG: 3",107 - 0020093,370630000000,1865,37.3,44,238,26,0.89135,16.8,1973,9,1662,7.3,2.1,88.6,0.5,1.4,20.9,37.6,23.2,18,44797.00,20332.00,39.1,61.4,44.2999992,32.8,64.7,0,0,3.8,13.3,1.3,0,46.6,108,22,61.8,23.4,95,0.89135,10097.00,67762.00,1,6.2,1.7
96,63,1304,1,370630000000,Block Group 1,370630000000,42 - 370630013041,"42 - Tract: 001304, BG: 1",42 - 0013041,370630000000,3830,86.9,154,255,111,0.66764,30.1,1961,8.1,2557,11.8,1.5,84.4,0.1,2.2,27.3,32.4,30.2,13.4,22679.00,13122.00,68.7,49,19.2999992,37.8,61.1,0,1.1,2.3,49.9,0,0,100,108,22,56.5,29,96,0.66764,1131825.00,348482.00,0.7,4.9,1.5
97,63,1301,1,370630000000,Block Group 1,370630000000,39 - 370630013011,"39 - Tract: 001301, BG: 1",39 - 0013011,370630000000,3999,65.7,284,549,121,0.28209,27.2,1939,4,1128,7.1,2.3,88.3,0.3,2,21.5,28.2,20.5,11.1,13986.00,11325.00,66.8,67.9,25.3999996,31.9,62.9,0,12.8,0,41.6,1.2,2.4,100,161,33,51,35.7,97,0.28209,0.00,287044.00,1.5,14.7,15.7
98,63,2013,2,370630000000,Block Group 2,370630000000,109 - 370630020132,"109 - Tract: 002013, BG: 2",109 - 0020132,370630000000,1580,20.9,9,60,2,0.56834,17.6,1965,3,898,8.4,56.9,26.5,3.9,4.3,59.7,36.6,21.2,9.5,65278.00,24765.00,39.9,41.1,10.1999998,21.2,74.6,0,1.8,1.7,6,0,0,21.4,26,0,70.3,11.8,98,0.56834,7439.00,191271.00,0,0.7,0.2
99,63,1709,1,370630000000,Block Group 1,370630000000,72 - 370630017091,"72 - Tract: 001709, BG: 1",72 - 0017091,370630000000,2476,4.3,54,117,28,0.39208,25.2,1971,6.3,971,12.9,3.6,81.3,0.6,1.6,32.2,30,28.9,9.4,35603.00,13578.00,62.1,72.3,52.9000015,14.4,58,0,0,0,0,0,37.5,95.7,53,12,61.6,23.9,99,0.39208,0.00,0.00,2.1,3.6,3
100,63,2007,1,370630000000,Block Group 1,370630000000,100 - 370630020071,"100 - Tract: 002007, BG: 1",100 - 0020071,370630000000,2547,9.7,7,84,6,0.68008,8.6,1977,0.8,1732,4.9,66.6,24.7,2.7,1.2,49.3,41.4,18.3,19.4,91489.00,39037.00,9.6,0,16.1000004,22,83,2.1,0,2.2,0,0,0.8,2.6,0,0,69.3,19.8,100,0.68008,0.00,334618.00,0.1,0.4,0
101,63,1001,2,370630000000,Block Group 2,370630000000,31 - 370630010012,"31 - Tract: 001001, BG: 2",31 - 0010012,370630000000,5541,80.5,205,512,124,0.23443,23,1936,12.4,1299,28.7,8.7,61,0.2,1.5,53.9,33.9,34,6.8,16391.00,11838.00,55.4,72.1,81.0999985,43.6,81.8,0,0,0,14.4,0,0,95.6,54,21,52.9,34,101,0.23443,0.00,1335786.00,2.8,12.9,16.8
102,63,101,1,370630000000,Block Group 1,370630000000,1 - 370630001011,"1 - Tract: 000101, BG: 1",1 - 0001011,370630000000,1760,33.6,60,219,33,0.71663,32,1948,7.2,1261,23.3,43.3,30.1,1.4,1.9,66.8,40.9,21.6,9.9,43125.00,25145.00,44.2,55.1,13.8999996,8.6,89,0,0,2.6,47.8,0,6.5,100,106,23,60,26.7,102,0.71663,405815.00,48490.00,1.7,7.7,1
103,63,1801,4,370630000000,Block Group 4,370630000000,83 - 370630018014,"83 - Tract: 001801, BG: 4",83 - 0018014,370630000000,459,12.6,9,98,1,2.78789,37.4,1977,4.7,1279,25.1,32.9,40,0.4,1.6,66.9,26.6,28.9,10.4,50321.00,12815.00,0,0,36.7999992,56.3,62.5,0,0,0,0,3.5,0,38.9,106,23,60.4,17.2,103,2.78789,1686.00,112411.00,0.5,4.4,0.5
104,63,1002,1,370630000000,Block Group 1,370630000000,33 - 370630010021,"33 - Tract: 001002, BG: 1",33 - 0010021,370630000000,4796,22.4,165,383,142,0.63488,48.2,1964,17.2,3045,40.8,4.4,52.5,0.6,1.7,55.6,30,35.1,6.3,22576.00,10189.00,81.8,56.7,83.9000015,23.5,39.9,0,3.2,6.1,11.9,14.1,0,98.2,135,32,47.3,36.8,104,0.63488,0.00,17326.00,1.3,2.9,1.9
