OBJECTID,COUNTYFP10,TRACTCE10,BLKGRPCE10,GEOID10,NAMELSAD10,GEOID10_1,PICK_GEOID,BGPICKLIST,BGTITLE,GEOID_NUM,POPDENS,SWTORD,V_PER_SQMI,P_PER_SQMI,D_PER_SQMI,AREA_SQMI,LUDIVERSE,R_AVGYR,PCTSSI,POP,PCTLATINO,PCTWH_NL,PCTBLK_NL,PCTASIANNL,PCTOTHERNL,RE_DIVERSE,MEDAGE,PctUnd18,Pct65Up,MHI,PCI,PCTRENT,PCTUNFRENT,PCTUNFOWN,PCTC30,PCTDRALONE,PCTBIKEWK,PCTWLKWK,PCTWRKHM,PCTR_GRCR,PCTR_PHARM,PCTR_BANK,PCTR_BUSST,DAYTRIPS,EVETRIPS,TREE_PCT,IMP_PCT,id,AREA_SQMI_,CVALPSM_12,RVALPSM_12,ACODEV_12,WCODEV_12,RCODEV_12
130,63,102,2,370630000000,Block Group 2,370630000000,4 - 370630001022,"4 - Tract: 000102, BG: 2",4 - 0001022,370630000000,2089,24,45,215,6,0.93327,30.2,1954,1.7,1950,17.2,45.1,33.3,2.3,2.1,65.6,43.7,20.6,17.8,38558.00,20709.00,46,54.9,46.7999992,41.2,76.2,0,1.6,3.8,23.7,33.2,36.2,69.5,107,34,53.5,31.6,130,0.93327,525894.00,202165.00,0.8,4.3,0.5
131,63,600,3,370630000000,Block Group 3,370630000000,24 - 370630006003,"24 - Tract: 000600, BG: 3",24 - 0006003,370630000000,365,16.3,5,19,1,1.41908,14.8,1961,0,518,2.9,84.9,7.5,3.5,1.2,27.1,60.6,19.1,26.6,160517.00,102164.00,0,0,15.1999998,15.4,89.9,0,0,0,0,0,0,11.5,127,22,74.3,8.7,131,1.41908,0.00,667877.00,0,0.5,0
132,63,1502,3,370630000000,Block Group 3,370630000000,48 - 370630015023,"48 - Tract: 001502, BG: 3",48 - 0015023,370630000000,6496,50.9,83,353,55,0.32588,30.9,1994,0,2117,18,20.5,32.3,26.8,2.4,75,25.5,18.6,2.2,27382.00,13915.00,98.8,33.2,0,22.5,29.3,0,46.8,0,0,0,57.9,100,106,22,33.5,49.3,132,0.32588,2508098.00,135362189.00,0.1,0,0.2
133,63,1502,4,370630000000,Block Group 4,370630000000,49 - 370630015024,"49 - Tract: 001502, BG: 4",49 - 0015024,370630000000,2123,24.4,159,505,89,0.21389,73.9,1970,17.3,454,14.3,7.3,71.8,4.4,2.2,45.7,24.6,13,8.1,12835.00,9225.00,1,7.5,0,36.3,63.7,0,4.9,0,0,0,93.3,100,53,11,45.1,38.7,133,0.21389,85012.00,155111.00,0,0,0.5
134,63,1706,2,370630000000,Block Group 2,370630000000,65 - 370630017062,"65 - Tract: 001706, BG: 2",65 - 0017062,370630000000,2800,10.3,7,93,4,0.66749,12.6,1982,0,1869,10.6,54.4,25.3,7.1,2.7,62.4,31.6,17.5,7.2,47450.00,31275.00,42,39.7,35.7999992,16.2,81.5,0,1.1,4.8,6.9,15.6,15.7,64.9,53,11,50.5,27.1,134,0.66749,105891.00,330617.00,0.5,0.6,0.1
135,63,1707,4,370630000000,Block Group 4,370630000000,69 - 370630017074,"69 - Tract: 001707, BG: 4",69 - 0017074,370630000000,843,25.5,5,27,1,2.06858,10.4,1980,0,1744,5.1,81.7,9,2.8,1.5,32.2,46.3,22.6,13.1,72340.00,44110.00,4.2,0,27.6000004,10.4,83.6,0,0,8.3,0,0,0,3.8,27,0,76.4,11.2,135,2.06858,0.00,1507521.00,0,1.7,0.1
136,63,1707,5,370630000000,Block Group 5,370630000000,70 - 370630017075,"70 - Tract: 001707, BG: 5",70 - 0017075,370630000000,903,97.4,1,11,0,1.60039,3.7,1995,1.8,1445,2.6,88,3.3,5.4,0.8,22.2,55.8,11.8,49,70291.00,54026.00,60.6,50.4,24.7000008,19.4,77.4,0,0.7,4.3,0,0,3.7,24.8,80,11,66.3,13.4,136,1.60039,0.00,597816.00,0,0,0
137,63,1806,1,370630000000,Block Group 1,370630000000,89 - 370630018061,"89 - Tract: 001806, BG: 1",89 - 0018061,370630000000,151,2,3,6,0,11.56901,33.2,1968,6.8,1742,7.6,82.5,8.9,0.3,0.7,30.5,47.2,19.3,18.2,68281.00,25941.00,11.6,20,30.8999996,42.6,79,0,0,2,1.2,2.2,1.9,0,0,0,0,0,137,11.56901,0.00,130751.00,0,0,0
138,63,1806,2,370630000000,Block Group 2,370630000000,90 - 370630018062,"90 - Tract: 001806, BG: 2",90 - 0018062,370630000000,962,27.2,16,34,1,4.08592,10.3,1995,2.8,3930,10.7,23.4,63,0.8,2.1,53.6,32.8,31.2,6.2,62143.00,24378.00,9.6,47.3,41,34.4,91,0,0,1.6,0.8,0,0,3.4,28,11,66.8,15.2,138,4.08592,0.00,615562.00,0.8,2.5,0.2
139,63,1807,3,370630000000,Block Group 3,370630000000,93 - 370630018073,"93 - Tract: 001807, BG: 3",93 - 0018073,370630000000,2701,29.7,17,61,5,0.99973,4.7,1993,2.8,2700,10.9,13.4,72.4,0.9,2.3,44.5,33.1,30.3,3.3,52857.00,24620.00,18.2,30,34.7000008,23.1,79.5,0.8,2.3,4.4,2.2,2.7,0.2,64.2,55,11,45.9,28.7,139,0.99973,0.00,65540.00,0.6,1.4,0.3
140,63,1808,2,370630000000,Block Group 2,370630000000,95 - 370630018082,"95 - Tract: 001808, BG: 2",95 - 0018082,370630000000,506,25.7,3,24,0,5.85639,14.3,1997,3.8,2966,14.8,49.9,29.1,3.8,2.4,64.2,34.7,24.2,8.9,80357.00,33977.00,13.6,0,31,29.2,80,0,0,4,8.4,1.6,5,17.8,27,11,68.5,12.9,140,5.85639,931.00,8675966.00,0,0.7,0.1
141,63,1809,1,370630000000,Block Group 1,370630000000,96 - 370630018091,"96 - Tract: 001809, BG: 1",96 - 0018091,370630000000,862,17.5,13,50,1,2.88032,42,1973,0,2484,11.6,38.7,44.1,2.5,3.1,64.2,26,20,6.4,45192.00,19855.00,75.1,34.4,30.7999992,13.6,86.8,0,0,2.6,3,0,3.2,54.7,39,17,61.8,16.1,141,2.88032,2892805.00,4760566.00,0.1,0,0.1
142,63,2015,3,370630000000,Block Group 3,370630000000,113 - 370630020153,"113 - Tract: 002015, BG: 3",113 - 0020153,370630000000,1475,30.3,11,431,28,0.46843,34.4,1953,0,691,3.9,77.7,7.7,9.4,1.3,38,63.6,3.9,57.2,79286.00,53800.00,87,39.6,0,0,87.7,0,0,0,0,94.4,94.4,99,96,11,32.6,55.9,142,0.46843,10869416.00,518321.00,0,0,0
143,63,200,2,370630000000,Block Group 2,370630000000,6 - 370630002002,"6 - Tract: 000200, BG: 2",6 - 0002002,370630000000,5692,56.5,128,548,82,0.19519,28.4,1943,0,1111,27,23,46.5,1,2.5,65.8,37.3,20.5,5,32829.00,20183.00,59.2,76.5,38.4000015,22,49.5,1.6,0,1.1,30.6,5.8,0,100,106,23,47.1,35.9,143,0.19519,1818934.00,2717920.00,0.7,4.5,1.3
144,63,1802,1,370630000000,Block Group 1,370630000000,85 - 370630018021,"85 - Tract: 001802, BG: 1",85 - 0018021,370630000000,1427,14.4,27,112,15,1.42503,25.4,1977,4.4,2033,21.8,11.7,63.7,0.4,2.4,53.3,29.2,29.6,7.1,35139.00,14555.00,30.6,74.6,42.5999985,32.5,71.8,0,0,8.1,12.6,0,0,64.8,55,11,60.6,24.6,144,1.42503,125108.00,43437.00,1.4,2.5,2.3
145,63,2016,2,370630000000,Block Group 2,370630000000,115 - 370630020162,"115 - Tract: 002016, BG: 2",115 - 0020162,370630000000,3536,32.2,31,320,11,0.60971,41.5,1987,0,2156,27.1,31.6,30.3,8.3,2.6,72.7,29.2,19.6,5.2,37472.00,20733.00,75.7,41.5,26.1000004,14.2,67.9,0,3.7,2.9,48,63.6,74.3,84.4,96,11,33.1,53.8,145,0.60971,2698138.00,147863.00,0.1,0.3,0.4
146,63,2017,3,370630000000,Block Group 3,370630000000,118 - 370630020173,"118 - Tract: 002017, BG: 3",118 - 0020173,370630000000,1275,22.2,8,115,3,2.35763,19.5,1988,2.6,3007,5.7,71.4,8.4,12.4,2.1,46.5,34.4,21.4,12.1,62740.00,39729.00,57.6,65.1,14.8000002,16.1,78.1,0,1.2,8.9,16.7,0.1,9,37.5,74,11,63.5,25.3,146,2.35763,37003.00,60478.00,0.1,0.2,0.1
147,63,2018,3,370630000000,Block Group 3,370630000000,121 - 370630020183,"121 - Tract: 002018, BG: 3",121 - 0020183,370630000000,724,26.2,4,20,1,3.39165,23.1,1987,0,2455,6,72,11.3,7.2,3.5,45.9,41.9,23.7,11.2,104286.00,47333.00,3.7,77.1,37.5999985,20.5,85.5,0,0,5.6,0.4,2,2.3,2.8,48,0,72.1,14.4,147,3.39165,895586.00,2210647.00,0.2,0.6,0
148,63,2019,1,370630000000,Block Group 1,370630000000,122 - 370630020191,"122 - Tract: 002019, BG: 1",122 - 0020191,370630000000,735,21.8,3,26,0,1.90462,42.5,2003,2.3,1399,6.1,60.9,24.2,5.4,3.5,56.4,27.6,17.5,2.8,42417.00,28213.00,86.9,45.4,17.8999996,11.6,66.8,0,0,0,39.3,39.4,22.9,39.3,81,11,73.4,15,148,1.90462,314505.00,197170.00,0,0.1,0.1
149,63,2019,3,370630000000,Block Group 3,370630000000,124 - 370630020193,"124 - Tract: 002019, BG: 3",124 - 0020193,370630000000,1074,9.1,1,28,0,1.37192,10.5,1987,0,1473,2.6,86.5,5.3,4.1,1.6,24.7,51.2,15.8,29.1,82115.00,47024.00,4,54.8,24.2000008,16,78.8,0,0,12.2,0,0,0,0,0,0,73.6,14.6,149,1.37192,2916.00,294764.00,0,0,0
150,63,2020,1,370630000000,Block Group 1,370630000000,125 - 370630020201,"125 - Tract: 002020, BG: 1",125 - 0020201,370630000000,731,44.7,0,6,0,2.78104,16.5,2002,0,2032,3.5,67,12.8,13.3,3.4,51.5,33.8,30.3,3.9,139063.00,56980.00,5,79.5,11.5,23,78.4,0.8,0,6.4,0,0,0,0.3,81,11,77.5,10.4,150,2.78104,406689.00,1161169.00,0,0.1,0
152,63,1503,1,370630000000,Block Group 1,370630000000,50 - 370630015031,"50 - Tract: 001503, BG: 1",50 - 0015031,370630000000,11984,48.2,0,12,0,0.16195,100,0,0,1941,9,53.8,12.4,22.8,2,63.5,18.9,2.3,0.2,0.00,4050.00,1,0,0,5.5,15.9,0,47.5,7.7,0,0,0,0,155,42,48.1,35.9,152,0.16195,1152103.00,11961887.00,0,0,0
153,63,1501,1,370630000000,Block Group 1,370630000000,45 - 370630015011,"45 - Tract: 001501, BG: 1",45 - 0015011,370630000000,2902,66.9,5,1,6,1.05771,34.5,1935,0,3070,6.1,49.7,11.6,31.3,1.3,63.8,19.6,1,0,7955.00,5465.00,1,55.6,0,1.4,11.8,0,70.2,4.2,0,0,99.3,100,208,53,44.1,43.9,153,1.05771,94306372.00,436804.00,0,0,0
